PUBID,gender,ENROLLSTAT_2009,CV_HH_SIZE_2009,CV_HIGHEST_DEGREE_2009,marital_status_2009,BIO_CHILD_HH_2009,URBAN-RURAL_2009,income_2009,health_2009,T_2009,y_2009,ENROLLSTAT_2010,CV_HH_SIZE_2010,CV_HIGHEST_DEGREE_2010,marital_status_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,income_2010,health_2010,T_2010,y_2010,CVC_HOURS_WK_YR_ALL_2009,CVC_HOURS_WK_YR_ALL_2010
1,2,6,3,4,2,-4,1,43500,1,6,7,6,9,4,2,-4,1,47000,1,6,6,1885,2060
2,1,4,1,2,2,-4,1,55000,1,5,8,4,1,2,2,-4,1,52000,1,6,7,2273,3103
3,2,5,4,3,1,1,1,26000,4,5,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,2056
4,2,4,4,2,1,2,1,65000,3,6,6,4,4,2,1,2,1,41000,3,6,6,2270,2170
5,1,3,2,2,3,-4,1,48000,2,2,6,3,3,2,3,1,1,62000,2,2,7,4440,3006
6,2,4,3,2,3,1,1,21000,1,4,7,4,3,2,3,1,1,31200,1,3,6,505,2112
7,1,2,5,1,2,-4,1,-4,4,2,6,2,2,1,3,-4,1,19000,4,1,8,579,0
8,2,7,2,5,2,-4,1,15000,2,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3380,2720
9,1,11,4,4,2,-4,1,27000,3,4,6,11,3,4,2,-4,1,24000,1,3,5,1712,2080
10,1,6,3,4,2,-4,1,45000,4,4,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2088,2080
11,2,10,4,2,2,1,1,-2,3,5,5,10,4,2,2,1,1,16000,4,6,4,1652,1092
12,1,4,3,1,2,-4,1,59000,4,6,4,4,3,1,2,-4,1,52000,3,6,4,3336,3879
13,1,1,4,0,2,-4,1,20000,2,6,5,1,2,0,2,-4,1,-4,1,5,5,1680,1940
14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,720,0
15,2,4,2,2,2,-4,1,20000,2,3,7,4,3,2,2,-4,1,12000,1,6,8,1768,1222
16,1,10,2,3,2,0,1,-4,1,6,8,5,2,3,1,0,1,38000,5,6,7,650,0
17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2080
18,1,9,3,1,2,0,1,-4,1,5,10,4,3,1,1,2,1,-4,1,1,8,0,0
19,1,3,3,-3,2,0,1,-4,1,3,8,3,3,-3,2,0,1,-2,-1,-1,-1,264,1068
20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,1,2,-4,1,-4,3,1,8,0,0
21,1,4,2,1,2,-4,1,-4,3,1,7,4,2,1,2,-4,1,-4,3,3,8,0,0
22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,2,1,1,1,50000,3,4,7,2496,2496
23,2,10,1,3,4,-4,1,55000,3,6,6,10,1,3,4,-4,1,54000,3,6,6,2028,2012
24,1,1,4,0,2,0,1,5400,3,1,8,1,4,0,2,0,1,-4,3,1,7,0,0
25,2,2,4,1,3,2,1,-4,2,6,5,2,4,1,3,2,1,-4,4,6,4,0,0
26,1,1,1,0,2,-4,1,-4,3,1,8,1,1,0,2,-4,1,-4,3,1,8,0,0
27,1,1,4,0,1,2,0,3500,2,5,5,1,4,0,1,2,0,-4,2,5,7,245,0
28,2,6,4,4,2,-4,1,32000,2,4,7,6,3,4,2,1,1,31000,1,6,6,1865,2080
29,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
30,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
31,1,6,4,4,2,-4,1,77000,2,4,6,6,4,4,2,-4,1,80000,1,5,8,2158,2221
32,2,6,3,4,3,1,1,121993,2,6,7,6,3,4,3,1,1,80000,2,6,7,2150,1920
33,2,6,4,4,3,-4,1,15000,1,4,7,6,4,4,3,-4,1,15000,2,3,7,1952,2392
34,2,6,4,4,2,-4,1,-2,2,6,12,6,4,4,2,-4,1,-4,2,6,8,428,0
35,1,6,2,4,1,-4,1,42500,1,6,7,6,2,4,1,-4,1,-2,2,5,7,1890,2050
36,2,9,4,2,3,2,1,-4,3,6,7,9,3,2,4,2,1,-4,3,4,7,0,0
37,2,6,3,4,3,-4,0,40000,3,6,7,6,2,4,3,-4,1,50000,2,5,6,2288,984
38,2,6,2,4,1,-4,1,50000,1,5,6,6,2,4,1,-4,1,45000,2,4,6,2195,2344
39,1,6,4,4,2,-4,1,-2,2,3,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1300,1575
40,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
41,2,10,2,4,2,-4,1,-2,2,4,6,6,1,4,2,-4,1,40000,2,5,6,1260,1600
42,1,6,4,4,2,-4,1,20000,3,4,7,6,4,4,2,-4,1,-4,4,6,7,0,0
43,2,4,2,1,2,-4,1,28000,3,4,6,4,1,1,2,-4,1,26000,1,4,6,1390,-3
44,1,4,5,2,4,0,1,-4,1,5,8,4,5,2,4,0,1,-4,4,4,8,0,0
45,2,1,2,0,2,1,1,-2,3,3,4,1,2,0,2,1,1,-2,3,2,7,1521,1302
46,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
47,2,4,2,2,2,-4,1,21000,3,2,5,4,1,2,2,-4,1,21000,1,6,3,2202,2372
48,2,6,3,4,1,1,1,28000,2,6,7,6,2,4,2,1,1,45000,2,6,6,2075,2504
49,2,3,4,2,3,2,1,28600,2,6,6,3,4,2,3,2,1,33000,2,6,10,1730,1560
50,2,4,2,1,2,1,1,28000,1,6,6,4,2,1,2,1,1,26000,3,3,4,1924,1707
