PUBID,GENDER,ENROLL_STAT_2010,HH_SIZE_2010,HIGHEST_DEGREE_2010,MARITAL_STAT_2010,BIO_CHILD_HH_2010,URBAN-RURAL_2010,INCOME_2010,GENERAL_HEALTH_2010,HOURS_PER_WEEK_COMPUTER_2010,HOURS_PER_NIGHT_SLEEP_2010,ENROLL_STAT_2011,HH_SIZE_2011,HIGHEST_DEGREE_2011,MARITAL_STAT_2011,BIO_CHILD_HH_2011,URBAN-RURAL_2011,INCOME_2011,GENERAL_HEALTH_2011,HOURS_PER_WEEK_COMPUTER_2011,ENROLL_STAT_2011,TOTAL_HOURS_WORKED_2010,TOTAL_HOURS_WORKED_2011
1,2,6,9,4,2,-4,1,47000,1,6,6,6,9,4,2,-4,1,50000,1,6,7,2060,1935
2,1,4,1,2,2,-4,1,52000,1,6,7,4,1,2,2,-4,1,81000,1,5,8,3103,2965
3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,3,3,1,1,1,-2,4,6,6,2056,2538
4,2,4,4,2,1,2,1,41000,3,6,6,4,4,2,1,2,1,51000,3,4,8,2170,1400
5,1,3,3,2,3,1,1,62000,2,2,7,3,3,2,3,1,1,68000,2,2,5,3006,3024
6,2,4,3,2,3,1,1,31200,1,3,6,4,4,2,3,1,1,-2,2,3,6,2112,1665
7,1,2,2,1,3,-4,1,19000,4,1,8,2,2,1,3,-4,1,0,4,1,6,0,0
8,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7,2,5,2,-4,1,65000,1,6,4,2720,2700
9,1,11,3,4,2,-4,1,24000,1,3,5,7,3,5,2,-4,1,30000,2,5,5,2080,1225
10,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
11,2,10,4,2,2,1,1,16000,4,6,4,-3,2,2,2,0,1,17000,4,6,4,1092,523
12,1,4,3,1,2,-4,1,52000,3,6,4,4,3,1,2,-4,1,68000,4,6,5,3879,3352
13,1,1,2,0,2,-4,1,-4,1,5,5,1,2,0,1,-4,1,-2,2,6,8,1940,1730
14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,2,0,1,-4,3,4,8,0,0
15,2,4,3,2,2,-4,1,12000,1,6,8,4,3,2,2,-4,1,12000,1,4,8,1222,1440
16,1,5,2,3,1,0,1,38000,5,6,7,5,2,3,1,0,1,20000,2,5,-1,0,0
17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
18,1,4,3,1,1,2,1,-4,1,1,8,4,3,1,1,1,1,-4,1,4,8,0,315
19,1,3,3,-3,2,0,1,-2,-1,-1,-1,3,3,-3,2,0,1,20000,2,3,7,1068,2299
20,1,2,3,1,2,-4,1,-4,3,1,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
21,1,4,2,1,2,-4,1,-4,3,3,8,4,2,1,2,-4,1,-4,3,3,6,0,0
22,1,4,5,2,1,1,1,50000,3,4,7,4,5,2,1,1,1,40000,4,3,6,2496,48
23,2,10,1,3,4,-4,1,54000,3,6,6,10,1,3,6,-4,1,56813,3,6,7,2012,1855
24,1,1,4,0,2,0,1,-4,3,1,7,1,4,0,2,0,1,-4,4,1,8,0,0
25,2,2,4,1,3,2,1,-4,4,6,4,2,4,1,3,2,1,-4,3,6,6,0,970
26,1,1,1,0,2,-4,1,-4,3,1,8,1,1,0,2,-4,1,-4,4,1,8,0,0
27,1,1,4,0,1,2,0,-4,2,5,7,1,5,0,1,3,0,-4,1,1,6,0,260
28,2,6,3,4,2,1,1,31000,1,6,6,6,3,4,2,1,1,40000,2,5,6,2080,2335
29,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
30,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
31,1,6,4,4,2,-4,1,80000,1,5,8,6,4,4,2,-4,1,85000,3,5,6,2221,2120
32,2,6,3,4,3,1,1,80000,2,6,7,6,3,4,3,1,1,146002,3,6,8,1920,2600
33,2,6,4,4,3,-4,1,15000,2,3,7,6,4,4,3,-4,1,16000,2,3,8,2392,2090
34,2,6,4,4,2,-4,1,-4,2,6,8,6,4,4,2,-4,1,-4,2,6,6,0,-3
35,1,6,2,4,1,-4,1,-2,2,5,7,6,2,4,1,-4,1,42500,1,6,6,2050,1855
36,2,9,3,2,4,2,1,-4,3,4,7,9,3,2,6,2,1,-4,3,6,7,0,264
37,2,6,2,4,3,-4,1,50000,2,5,6,6,4,4,4,-4,1,50000,2,5,5,984,2179
38,2,6,2,4,1,-4,1,45000,2,4,6,6,4,4,2,-4,1,55000,2,4,5,2344,2426
39,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,3,4,2,-4,1,-2,3,3,7,1575,1070
40,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
41,2,6,1,4,2,-4,1,40000,2,5,6,6,2,4,2,-4,1,45000,2,6,6,1600,2335
42,1,6,4,4,2,-4,1,-4,4,6,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
43,2,4,1,1,2,-4,1,26000,1,4,6,4,1,1,2,-4,1,-4,1,2,6,-3,0
44,1,4,5,2,4,0,1,-4,4,4,8,4,5,2,6,0,1,-4,4,3,8,0,0
45,2,1,2,0,2,1,1,-2,3,2,7,8,2,0,2,1,1,-4,1,4,5,1302,0
46,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,1,2,0,1,-4,3,1,6,0,0
47,2,4,1,2,2,-4,1,21000,1,6,3,4,2,2,2,1,1,23000,1,3,5,2372,342
48,2,6,2,4,2,1,1,45000,2,6,6,6,2,4,2,1,1,56000,3,6,6,2504,2650
49,2,3,4,2,3,2,1,33000,2,6,10,3,5,2,3,3,1,30000,1,6,8,1560,1590
50,2,4,2,1,2,1,1,26000,3,3,4,4,2,1,2,1,1,24000,3,6,4,1707,2001
51,1,4,2,2,10,1,1,24000,3,4,7,4,2,2,10,1,1,28000,3,3,7,2152,2692
52,1,9,7,2,3,1,1,32000,4,3,4,4,3,2,3,1,1,25000,3,5,6,1656,2502
53,2,3,4,2,2,-4,1,30000,2,4,4,3,4,2,2,-4,1,26000,3,6,6,2080,2120
54,2,5,3,3,2,2,1,10000,3,5,7,5,5,3,2,2,1,25000,3,6,5,1695,2320
55,2,6,2,4,3,-4,0,41000,3,5,5,6,2,4,3,-4,0,40156,3,6,6,2080,2120
56,2,7,2,5,3,-4,1,75000,2,4,7,7,3,5,3,1,1,67000,1,4,8,2284,1978
57,1,3,5,2,2,-4,1,2000,1,3,8,3,5,2,2,-4,1,-2,3,3,1,4380,2200
58,1,4,1,2,2,-4,1,62000,1,3,4,4,1,2,2,-4,1,70000,1,4,8,2912,2968
59,2,4,3,2,1,-4,1,-4,5,6,6,4,3,2,1,-4,1,-4,3,4,6,-3,1060
60,1,6,1,4,2,-4,1,4000,4,6,8,7,7,5,2,-4,1,-4,4,6,11,0,728
61,2,5,5,3,8,1,1,25000,2,5,4,5,2,3,8,1,1,30000,4,3,4,2736,2270
62,1,6,2,4,1,-4,1,36000,2,6,6,6,2,4,1,-4,1,27000,2,6,6,1973,2512
63,2,10,5,2,4,2,1,-4,3,3,5,6,6,4,8,3,1,-4,3,4,4,0,0
64,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2080,2120
65,1,5,4,3,2,-4,1,-2,1,3,7,10,4,3,2,-4,1,-4,3,4,7,40,602
66,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
67,1,7,3,6,2,0,1,-4,3,6,7,7,3,6,2,0,1,-4,4,6,6,20,108
68,1,9,1,2,2,-4,1,-4,1,6,4,9,1,2,2,-4,1,-4,1,4,8,6160,0
69,2,6,1,4,4,-4,1,52000,2,6,8,6,1,4,4,-4,1,49000,1,6,7,2080,2120
70,1,6,1,4,2,-4,1,-2,2,6,7,6,1,4,2,-4,1,50000,2,6,6,-3,-3
71,1,4,2,2,1,-4,1,38000,4,6,6,4,1,2,2,-4,1,40000,4,4,7,2248,2468
72,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,0
73,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2340,2385
74,1,11,2,4,2,-4,1,-4,4,6,6,7,2,7,2,-4,1,3000,2,6,7,1360,1035
75,1,4,6,2,2,-4,1,36000,1,6,8,4,6,2,2,-4,1,36000,2,6,6,2080,1480
76,1,10,6,2,2,-4,1,68000,2,4,7,10,6,2,2,-4,1,60000,3,4,6,2272,2453
77,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
78,2,5,2,3,2,1,1,15000,2,3,6,5,2,3,2,1,1,-4,2,1,6,675,1050
79,1,4,3,1,1,1,1,5000,4,6,6,4,3,1,1,1,1,13000,4,6,6,1140,460
80,1,4,3,1,2,0,1,-4,3,3,6,4,2,1,2,0,1,-4,4,2,7,0,0
